"SEGMENTID","STREET","DIRECTION","FROM_STREET","TO_STREET","LENGTH"," STREET_HEADING"," CURRENT_SPEED"," LAST_UPDATED"
"658","Congress","WB","Clark","I-294 Expy","0.15","W","-1","2010-07-21 14:50:43.0"
"1095","Roosevelt","EB","Ridgeland","Austin","0.503414826848","W","-1","2010-07-21 14:51:04.0"
"744","Elston","SE","Pulaski","Central Park","0.7","N","-1","2010-07-21 14:50:53.0"
"128","Ashland","NB","Irving Park","Montrose","0.5","N","-1","2010-07-21 14:50:15.0"
"1013","Touhy","WB","Caldwell","Milwaukee","0.64","W","-1","2010-07-21 14:50:53.0"
"973","Pershing","WB","Western","Archer","0.25","W","-1","2010-07-21 14:51:02.0"
"1144","Harlem","NB","41ST","Pershing","0.251006425204","S","-1","2010-07-21 14:51:14.0"
"1085","127th","WB","Kedzie","Pulaski","1.00285924025","W","-1","2010-07-21 14:51:04.0"
"1109","Archer","WB","Harlem","1st Ave","0.431797331368","W","-1","2010-07-21 14:51:05.0"
"1157","Harlem","SB","6700 South","71st","0.591573841805","S","-1","2010-07-21 14:51:14.0"
"1110","87th","EB","Harlem","Ridgeland","0.996672897241","W","-1","2010-07-21 14:51:05.0"
"677","Ramp To SB Dan Ryan Expy","SB","Cermak","26th","0.5","S","-1","2011-08-02 14:20:57.0"
"1067","Washington","WB","Central Park","Pulaski","0.511603281","W","-1","2010-07-21 14:51:02.0"
"461","95th","EB","Torrence","Baltimore","0.59","E","-1","2010-07-21 14:50:47.0"
"836","Harlem","SB","53RD","Archer","0.26","S","-1","2010-07-21 14:50:58.0"
"981","Torrence","NB","99th","95th","0.49","S","-1","2010-07-21 14:51:07.0"
"659","Congress","WB","State","Clark","0.15","E","-1","2010-07-21 14:50:44.0"
"1165","Harlem","SB","26th","Ogden","1.33696009685","S","-1","2010-07-21 14:51:12.0"
"669","Cumberland","NB","Montrose","Lawrence","0.5","N","-1","2010-07-21 14:50:44.0"
"1008","Touhy","WB","Dee Rd","I-294 Expy","0.66","W","-1","2010-07-21 14:51:08.0"
"1084","127th","WB","Pulaski","I-294 Expy","0.883600754942","W","-1","2010-07-21 14:51:09.0"
"1074","95th","EB","Cicero","Pulaski","1.0091051633","W","-1","2010-07-21 14:51:03.0"
"1142","Harlem","NB","I-55 Expy","47th","0.471806000906","S","-1","2010-07-21 14:51:14.0"
"130","Ashland","NB","Lawrence","Foster","0.5","N","-1","2010-07-21 14:50:15.0"
"165","Ashland","SB","Foster","Lawrence","0.5","N","-1","2010-07-21 14:50:17.0"
"1044","Washington","EB","Central Park","Warren","0.17","W","-1","2010-07-21 14:50:55.0"
"1005","Touhy","EB","Clark","Sheridan","0.57","W","-1","2010-07-21 14:51:08.0"
"1068","Washington","WB","Warren","Central Park","0.170820505","W","-1","2010-07-21 14:51:03.0"
"897","Lake Shore Dr","SE","Hollywood","Foster","0.64","N","-1","2010-07-21 14:50:51.0"
"1136","Harlem","NB","87th","79th","1.02154901966","S","-1","2010-07-21 14:51:13.0"
"1009","Touhy","WB","Northwest Hwy","Dee Rd","1.33","W","-1","2010-07-21 14:51:08.0"
"1064","Washington","WB","Damen","Western","0.5","W","-1","2011-11-02 10:31:27.0"
"998","Touhy","EB","Lehigh","Edens Expy","1.17","W","-1","2011-08-02 14:21:14.0"
"1120","127th","EB","Pulaski","Kedzie","1.00285924025","W","-1","2010-07-21 14:51:06.0"
"654","Congress","EB","I-294 Expy","Clark","0.15","W","-1","2010-07-21 14:50:43.0"
"1166","Harlem","SB","Cermak","26th","0.504271882448","S","-1","2010-07-21 14:51:12.0"
"722","Elston","NW","Ashland","Damen","0.69","N","-1","2010-07-21 14:50:46.0"
"742","Elston","SE","Kedzie","California","0.71","N","-1","2010-07-21 14:50:53.0"
"1175","Jackson","WB","Lake Shore Dr","Columbus","0.167479459108","E","-1","2010-07-21 14:51:12.0"
"999","Touhy","EB","Edens Expy","Crawford","1.12","W","-1","2011-10-28 11:50:50.0"
"476","95th","WB","Ewing","Baltimore","0.6","E","-1","2010-07-21 14:50:48.0"
"730","Elston","NW","Cicero","Laramie","0.66","N","-1","2010-07-21 14:51:09.0"
"731","Elston","NW","Laramie","Central","0.69","N","-1","2010-07-21 14:51:09.0"
"1047","Warren","EB","California","Western","0.5","W","-1","2011-10-28 14:10:51.0"
"1096","Roosevelt","WB","Ridgeland","Harlem","1.04519884952","W","-1","2010-07-21 14:51:04.0"
"1106","IL-171","EB","I-55 Expy","Archer","0.587255391559","W","-1","2010-07-21 14:51:05.0"
"727","Elston","NW","Central Park","Pulaski","0.7","N","-1","2010-07-21 14:50:46.0"
"1021","Touhy","WB","Clark","Rogers","0.41","W","-1","2010-07-21 14:50:54.0"
"740","Elston","SE","Western","Damen","0.7","N","-1","2010-07-21 14:50:53.0"
"1010","Touhy","WB","Oriole","Northwest Hwy","0.68","W","-1","2010-07-21 14:51:08.0"
"736","Elston","SE","Damen","Ashland","0.69","N","-1","2010-07-21 14:50:52.0"
